"county","R1"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","R"
"New York","R"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","R"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","R"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","S"
"New York","R"
"New York","R"
"New York","S"
"New York","R"
"New York","S"
"New York","S"
"New York","S"
